field,name
THEFTOV152,THEFTOVER_2017
THEFTOV153,THEFTOVER_2018
THEFTOV154,THEFTOVER_2019
THEFTOV155,THEFTOVER_2020
THEFTOV156,THEFTOVER_2021
THEFTOV157,THEFTOVER_2022
THEFTOV158,THEFTOVER_RATE_2014
THEFTOV159,THEFTOVER_RATE_2015
THEFTOV160,THEFTOVER_RATE_2016
THEFTOV161,THEFTOVER_RATE_2017
THEFTOV162,THEFTOVER_RATE_2018
THEFTOV163,THEFTOVER_RATE_2019
THEFTOV164,THEFTOVER_RATE_2020
THEFTOV165,THEFTOVER_RATE_2021
THEFTOV166,THEFTOVER_RATE_2022
