,price,address,beds,baths,size,longitude,latitude
198,3300,55 Munro Park Ave,2,1,950 ,-79.283277,43.673272
199,2099,510 Dawes Road,1,1,600 ,-79.297214,43.704345
201,2500,60 Ann OReilly Road,1.5,1,606 ,-79.32932,43.77407
202,2595,62 Forest Manor Road,1.5,1,654 ,-79.347479,43.77395
203,2800,75 Canterbury Place,2,1,595 ,-79.414829,43.773352
204,2450,120 Harrison Garden Blvd,1.5,1,534 ,-79.403612,43.758012
207,2350,50 Ann OReilly Road,1,1,467 ,-79.32932,43.77407
208,2400,55 Ann OReilly Road,1.5,1,601 ,-79.329372,43.774248
209,2000,2885 Bayview Ave,0,1,405 ,-79.38798,43.76802
210,4200,1900 Bayview Avenue,2,2.5,1071 ,-79.3786,43.71789
211,2250,99 Broadway Avenue,1,1,420 ,-79.393298,43.710505
212,2795,83 Redpath Ave,1.5,1,633 ,-79.392045,43.706629
213,2400,161 Roehampton Avenue,1.5,1,625 ,-79.393652,43.708767
215,2650,20 Brin Drive,1.5,2,640 ,-79.511799,43.661316
219,3695,120 Homewood Ave,2.5,2,1085 ,-79.376298,43.667145
220,2650,270 Wellington Street West,1.5,1,745 ,-79.391341,43.64505
222,3300,15 Lower Jarvis Street,2,2,850 ,-79.369032,43.64404
223,2600,49 East Liberty Street,1.5,2,617 ,-79.411999,43.638889
224,2750,20 Blue Jays Way,1,1,560 ,-79.392133,43.644309
225,3600,832 Bay Street,2.5,2,1090 ,-79.386581,43.661825
228,3230,150 Fermanagh Ave,2,1,825 ,-79.448578,43.646582
231,4550,131 Kenilworth Ave,3,1.5,980 ,-79.302114,43.670448
232,2527,3892 Bathurst Street,2,1,768 ,-79.435552,43.743489
234,4550,129 Kenilworth Ave,3,1.5,980 ,-79.302171,43.670414
236,3500,495 Logan Ave.,2,2,,-79.3451,43.667287
237,2325,263 Boston,1.5,1,526 ,-79.383184,43.653226
238,2345,50 Thomas Riley Road,1,1,700 ,-79.541591,43.63383
239,2280,122 Dowling Avenue,1,1,514 ,-79.438874,43.636767
241,2350,18 Brownlow Avenue,1,1,625 ,-79.391241,43.706546
242,7845,82 Homewood Avenue,5,3.5,1800 ,-79.375628,43.665592
243,2195,2300 St Clair Avenue West,1,1,600 ,-79.478216,43.670477
244,2650,115 Winchester Street,1,1,573 ,-79.364961,43.666528
248,3299,32 Curzon street,1.5,1,1200 ,-79.332198,43.66407
249,2349,5 Dufresne Court,1,1,,-79.330442,43.715125
250,2650,130 River St,1.5,1,550 ,-79.358454,43.66144
251,3550,100 Western Battery Rd,2,2,850 ,-79.415811,43.639519
253,3500,801 King St W,1.5,1,650 ,-79.407131,43.642864
254,3450,35 Rolling Mills Rd,2.5,2,750 ,-79.355444,43.652948
255,3000,399 Adelaide St,1.5,1,750 ,-79.397236,43.646188
256,2950,35 Mariner Terr,1,1,750 ,-79.390197,43.641606
257,3500,210 Simcoe St,2,1,850 ,-79.389155,43.652326
258,2500,51 Trolley Cres,1,1,650 ,-79.355378,43.656981
264,3590,763 Woodbine Ave.,2,2,814 ,-79.310421,43.680777
265,3000,72 Edinborough Court,3,1,,-79.499937,43.672599
267,3000,508 Wellington St,1,1,750 ,-79.3992,43.64342
268,2600,60 Princess St,1.5,1,550 ,-79.366017,43.649108
269,2800,70 Queens Wharf Rd,1,1,550 ,-79.399473,43.638518
270,3000,38 Grand Magazine St,1.5,2,750 ,-79.402831,43.637362
271,3750,18 Harbour St,2.5,2,950 ,-79.376989,43.642797
273,3000,11 Brunel Crt,1.5,1,750 ,-79.393232,43.639406
274,2500,105 George St,1,1,550 ,-79.370793,43.652205
275,2650,21 Iceboat Terrace,1.5,1,650 ,-79.397321,43.640287
276,2600,25 Baseball Pl,1,1,550 ,-79.350915,43.657685
278,3200,125 Peter St,1.5,1,650 ,-79.392676,43.648475
279,3800,576 Front St,2,2,650 ,-79.400533,43.641201
280,2600,8 Gladstone Ave,1,1,550 ,-79.427556,43.643208
281,2250,565 Avenue Road,1,1,580 ,-79.401501,43.688141
282,2300,268 Merton Street,1,1,660 ,-79.38792,43.698014
283,2399,15 Brookbanks Drive,1,1,950 ,-79.331901,43.751731
287,2049,1602 Bathurst,1,1,570 ,-79.420761,43.688606
289,2640,2397 FINCH AVE W,2,1,941 ,-79.544494,43.751181
291,2500,6 PARKWOOD AVENUE,1,1,525 ,-79.409853,43.685242
293,3400,599 Roehampton Avenue,2,3,1802 ,-79.379629,43.71144
