,price,address,beds,baths,size
107,2575 - $2995,106 Parkway Forest Drive,1 - 2,1,639 - 889 
108,2745,1000 Mount Pleasant Road,1,1,785 
109,1950 - $2435,890 Mount Pleasant Road,0 - 1,1,332 - 531 
110,2895,5 Brockley Drive,2,1,915 
111,2275 - $2775,2350 Birchmount Road,1 - 2,1,744 - 1025 
112,2475 - $2925,110 Erskine Avenue,1 - 2,1,595 - 865 
113,2025 - $2945,140 Erskine Avenue,0 - 2,1,390 - 815 
114,2215,125 Parkway Forest Drive,1,1,710 
115,2250,2301 Lakeshore Boulevard West,1,1,550 
116,2825,225 Van Horne Ave.,2,1,798 
117,2700 - $3400,69 Old Mill Terrace,1 - 2,1,658 - 885 
118,3100 - $3500,571 Prince Edward Drive North,1.5 - 2,1 - 2,741 - 876 
119,2650,2303 Eglinton Ave East,2,1,850 
120,2895,12 Auburndale Court -,2,2,1196 
121,2395,787 Vaughan Rd,2,1,800 
122,2225 - $3000,20 Graydon Hall Drive - ,1 - 3,1 - 2,
123,3425 - $6050,484 Spadina Ave,1 - 3,1 - 2,533 - 1016 
124,2889,59 Waterford Drive -,2,1.5,1040 
125,2735 - $3623,10 Roanoke Road,1 - 3,1 - 1.5,800 - 1250 
126,2550,35 Canyon Avenue,2,2,1055 
127,1 - $2745,33 King Str,1 - 2,1 - 2,881 
128,2625,305 Roehampton Avenue,1.5,1,615 
129,2125,322 Eglinton Avenue East,1,1,508 
130,2300,Basement 136 Haslam Street - S,2,1,
131,2252,338-342 Donlands Ave. -,1,1,491 
132,2300,"230 230 King St. E., Suite 1501",1,1,
133,1949 - $2625,1 & 2 & 3 & 5 & 7 Biggin Court - S,0 - 2,1,
134,2850,101 Erskine Avenue,2,2,839 
135,3199,3 Heatherington Drive - S,3,1,1350 
136,2199,3 Heatherington Drive - S,2,1,900 
137,1550 - $2500,730 St Clarens Avenue,0 - 2,1,230 - 640 
138,2495,95 Thorncliffe Park Dr -,1,1,1000 
139,1725 - $2450,798 Richmond Street West,0 - 1,1,236 - 472 
140,1550,27 Paxtonia Blvd 27 Paxtonia Boulevard - ,0,2,300 
141,1317,Jane and Weston,0,1,450 
142,2249 - $3650,30 Edith Drive,0 - 2,1 - 1.5,382 - 903 
143,4350,131 Kenilworth,3,1.5,980 
144,3700,197 Hallam Street,2,2,840 
145,3700,197 Hallam Street,2,2,800 
146,2250,197 Hallam Street,1,1,400 
147,1750,197 Hallam Street,1,1,340 
148,2350,197 Hallam Street,1,1,400 
149,1625 - $2520,650 Parliament Street,0 - 2,1,660 
150,1705 - $1975,260 Wellesley Street East,0 - 1,1,360 
151,2980,121 Lower Sherbourne Street,2,2,675 
152,3050,251 Jarvis Street,2,1,577 
153,2200,39 Riverwood Parkway,1,1,614 
154,1800 - $2080,160 Huron Street,0 - 1,1,333 - 385 
155,3115 - $4493,50 Spadina Road,1 - 2,1,618 - 1136 
156,2545,38 Niagara Street,1,1,550 
157,2079,3388 Bathurst Street /  2 Khedive Avenue,1,1,650 
158,2261 - $3176,3390 Keele Street,1 - 3,1 - 1.5,692 - 1057 
159,1992 - $2467,3 Broadway Avenue,1 - 2,1,404 - 681 
160,2074 - $2599,633 Northcliffe Blvd,1 - 2,1,
161,1757 - $1886,2701 Eglinton Avenue West,0,1,274 - 378 
162,2425,7 Bishop Avenue,1,1,453 
163,1932 - $2655,1 Rosemount Drive,0 - 2,1,508 - 925 
164,1828 - $2686,1862 Bathurst Street,0 - 2,1,300 - 710 
165,1915 - $1982,1660 Bathurst Street,1,1,581 - 587 
166,2749 - $2789,1650 Bathurst Street,2,1,874 
167,2491 - $3282,301 Dixon Road -,1 - 3,1 - 1.5,778 - 1118 
168,1799 - $2699,1065 Eglinton Ave.,0 - 2,1,374 - 701 
169,2263 - $3039,3311 Bathurst Street,0,1,654 - 926 
170,2250,77 Shuter St,1,1,380 
171,3000,1 Foxley St.,2,1.5,
172,3700,15 Lower Jarvis Street,2,2,
173,2550 - $3200,5 Mabelle Avenue,1.5 - 2.5,2,693 - 872 
174,3600,150 Logan Avenue,2.5,2,840 
175,2450,28 Ted Rogers Way,1,1,557 
176,2365,829 Pape Ave.,1,1,
177,2600 - $4800,280 Howland Avenue,1 - 2.5,1 - 3,601 - 1120 
178,2400,8 Park Road,1,1,570 
179,2159 - $3114,111 Pacific Avenue,0 - 2,1,
180,3500,15 Arnold Ave.,3,3.5,
181,2875,135 Fenelon Drive,3,1.5,1150 
182,3000,9 Jack Wiggins Lane,4,3,2136 
183,2199 - $3449,5249 Dundas Street W -,0 - 2.5,1 - 2,
184,2995,39 Roehampton Avenue,2,2,660 
185,2950,252 Thistle Down Boulevard (Main),3,1,
186,2700,2212 Lake Shore Boulevard West,1.5,1,
187,3650,25 Maitland Street,2,2,
188,2400,30 Baseball Place,1,1,
189,2499,25 Richmond Street East,1,1,
190,2500,20 Bruyeres Mews,1,1,
191,2650,165 Legion Road North,1,1,
192,2400,120 Bayview Ave,1,1,
193,6000,36 Elkpath Avenue,5,3.5,
194,9000,676 Richmond Street West,3,2,
195,2450,1603 Eglinton Ave W,1.5,1,
196,8995,35 Boswell Avenue,3,4.5,
197,1845,9 Crown Hill Place -,1,1,600 
198,2800,15 Viking Lane,1.5,1,720 
199,2450 - $3295,575 Bloor Street East,1 - 2,1 - 2,522 - 778 
200,2350,50 McCaul Street,1,1,492 
201,1650,26 Balmoral Avenue,0,1,264 
202,2323 - $2617,2450 & 2460 Weston Rd. - ,1 - 2,1,635 - 943 
203,3645,20 Shore Breeze Drive -,2,2,870 
204,1874,1 Eccleston Drive,1,1,605 
205,3595,263 Dixon Road,3,1.5,1183 
206,2262 - $3100,2050 Keele Street - ,1 - 3,1,568 - 918 
207,2800 - $3600,25 Adra Grado Way,1.5 - 2,1 - 2,605 - 814 
208,2100,642 Vaughan Road,1,1,
209,2100,1600 Bathurst,1,1,
210,2095,11 Walnut Crescent -,0,1,1700 
211,4350,129 Kenilworth,3,1.5,980 
212,2445,10 Laidlaw Street,1.5,1,490 
213,2200,2100 Bathurst St.,1,1,
214,2550,135 East Liberty Street,1,1,555 
215,3450,6 Wellesley Pl,2,2,
216,2719 - $2789,6020 Bathurst Street,1,1,746 - 792 
217,2250,8 Newholm Road,1,1,
218,2950,1555 Finch Avenue East,1,1,875 
219,2250,111 Lawton Boulevard,1,1,589 
220,1950 - $2450,230 Oak Street,1 - 2,1,369 - 653 
221,2500,1191 Birchmount Road,2,1,700 
222,1629 - $2729,1320-1330 Danforth Road - S,0 - 3,1,372 - 1081 
223,1867 - $2899,1350 Danforth Road - S,1 - 3,1 - 2,695 - 1265 
224,2357 - $2774,3575 Bathurst Street,1 - 2,1,654 - 795 
225,2850,10 Northtown Way,1.5,1,678 
226,2206 - $2593,3 Strathgowan Avenue,1 - 2,1,539 - 796 
227,3500,118 Merchants Wharf,2,2,809 
228,2850,1 Yorkville Avenue,1.5,1,556 
229,2800,130 Baldwin Street,2,1,700 
230,3300,55 Munro Park Ave,2,1,950 
231,2100 - $3051,20 Monte Kwinter Court - ,1 - 2,1 - 2,
232,2550,135 East Liberty Street & King West Laneway,1,1,465 
233,2099,510 Dawes Road,1,1,600 
234,2250 - $2795,830 Lawrence Avenue West,1 - 2,1 - 2,507 - 682 
235,2500,60 Ann OReilly Road,1.5,1,606 
236,2595,62 Forest Manor Road,1.5,1,654 
237,2800,75 Canterbury Place,2,1,595 
238,2450,120 Harrison Garden Blvd,1.5,1,534 
239,2300 - $6000,20 Inn On The Park Drive,1 - 3,1 - 2.5,648 - 1410 
240,2200 - $3800,30 Inn On The Park Drive,1 - 2.5,1 - 2,538 - 1062 
241,2350,50 Ann OReilly Road,1,1,467 
242,2400,55 Ann OReilly Road,1.5,1,601 
243,2000,2885 Bayview Ave,0,1,405 
244,4200,1900 Bayview Avenue,2,2.5,1071 
245,2250,99 Broadway Avenue,1,1,420 
246,2795,83 Redpath Ave,1.5,1,633 
247,2400,161 Roehampton Avenue,1.5,1,625 
248,2400 - $3895,10 Eva Road,1 - 3,1 - 2,538 - 1095 
249,2650,20 Brin Drive,1.5,2,640 
250,2300 - $2950,7 Mabelle Avenue,1 - 2.5,1 - 2,488 - 779 
251,2250 - $2900,9 Mabelle Avenue,1 - 2,1 - 2,517 - 700 
252,2100 - $5600,585 Bloor Street East,0 - 3,1 - 2,398 - 1362 
253,3695,120 Homewood Ave,2.5,2,1085 
254,2650,270 Wellington Street West,1.5,1,745 
255,2550 - $2750,10 York Street,1 - 1.5,1,582 - 651 
256,3300,15 Lower Jarvis Street,2,2,850 
257,2600,49 East Liberty Street,1.5,2,617 
258,2750,20 Blue Jays Way,1,1,560 
259,3600,832 Bay Street,2.5,2,1090 
260,2895 - $3800,89 McGill Street,2,1 - 2,583 - 790 
261,2650 - $3250,300 Front Street West,1.5 - 2,1 - 2,687 - 765 
262,2825,408 Brown's Line,2,2,815 
263,3230,150 Fermanagh Ave,2,1,825 
264,2582 - $2660,66 Spadina Road,1,1,630 - 673 
265,1899 - $2293,"320, 326, 330, 340, 342 Avenue Road",0 - 1,1,384 - 657 
266,2055 - $2562,3896 Bathurst Street,1 - 2,1,571 - 782 
267,4550,131 Kenilworth Ave,3,1.5,980 
268,2527,3892 Bathurst Street,2,1,768 
269,2133 - $2196,3888 Bathurst Street,1,1,590 - 636 
270,4550,129 Kenilworth Ave,3,1.5,980 
271,2354 - $2807,4190 Bathurst Street,1 - 2,1,672 - 974 
272,3500,495 Logan Ave.,2,2,
273,2325,263 Boston,1.5,1,526 
274,2345,50 Thomas Riley Road,1,1,700 
275,2218 - $2848,"3000, 3015, 3017 Queen St. E",1 - 2,1,648 - 894 
276,2280,122 Dowling Avenue,1,1,514 
277,1959 - $2649,2900 Bathurst Street,1 - 2,1,600 - 867 
278,2350,18 Brownlow Avenue,1,1,625 
279,1990,2301 Victoria Park Ave - S,1,1,
280,7845,82 Homewood Avenue,5,3.5,1800 
281,2195,2300 St Clair Avenue West,1,1,600 
282,2795,139 North Carson Street -,3,1,1000 
283,2042 - $2215,"100 Gloucester St and 105 Isabella St, Toronto, ON",0 - 1,1,438 - 635 
284,2650,115 Winchester Street,1,1,573 
285,2384 - $3124,145 Marlee Avenue,1 - 2,1,
286,2294 - $2614,1200 York Mills Road,1 - 2,1,888 - 926 
287,3582 - $4247,4001 - 4005 Bayview Avenue - ,2 - 3,1.5 - 2.5,1158 - 1661 
288,1972 - $2773,55 Triller Avenue,0 - 2,1,445 - 895 
289,1910 - $2214,1340 Danforth Road - S,1 - 2,1,685 - 990 
290,3299,32 Curzon street,1.5,1,1200 
291,2349,5 Dufresne Court,1,1,
292,2650,130 River St,1.5,1,550 
293,3550,100 Western Battery Rd,2,2,850 
294,3500 - $3950,585 Bloor St E,2,2,850 - 950 
295,3500,801 King St W,1.5,1,650 
296,3450,35 Rolling Mills Rd,2.5,2,750 
297,3000,399 Adelaide St,1.5,1,750 
298,2950,35 Mariner Terr,1,1,750 
299,3500,210 Simcoe St,2,1,850 
300,2500,51 Trolley Cres,1,1,650 
301,2025 - $2970,20 Samuel Wood Way,0 - 2,1 - 2,370 - 780 
302,2140 - $2650,132 Berkeley Street,0 - 1,1,367 - 555 
303,2500 - $2985,151 Beecroft Road,1 - 2,1,490 - 765 
304,2150 - $4250,570 Bay Street,0 - 2,1 - 2,495 - 969 
305,2050 - $3050,5191 Dundas Street West -,0 - 2,1 - 2,435 - 855 
306,1925 - $2950,7 Summerland Terrace -,0 - 2.5,1 - 2,411 - 1016 
307,2075 - $3050,3 Summerland Terrace -,0 - 2,1 - 2,372 - 795 
308,2275 - $3800,167 Church Street,0 - 2,1 - 2,365 - 1000 
309,3590,763 Woodbine Ave.,2,2,814 
310,3000,72 Edinborough Court,3,1,
311,1799 - $2099,2730 Yonge Street,0,1,564 - 705 
312,3000,508 Wellington St,1,1,750 
313,2600,60 Princess St,1.5,1,550 
314,2150 - $2250,100 Gamble Ave -,1 - 2,1,
315,2800,70 Queens Wharf Rd,1,1,550 
316,3000,38 Grand Magazine St,1.5,2,750 
317,2425,10 Ruddington Drive - ,2,1,
318,3750,18 Harbour St,2.5,2,950 
319,1895 - $2795,110-120 Jameson Avenue,0 - 2,1,400 - 786 
320,3000,11 Brunel Crt,1.5,1,750 
321,2500,105 George St,1,1,550 
322,2650,21 Iceboat Terrace,1.5,1,650 
323,2600,25 Baseball Pl,1,1,550 
324,2337 - $2832,4222 Bathurst Street,1 - 2,1,674 - 915 
325,1981 - $2761,1465 Lawrence Ave West - ,1 - 2,1,373 - 981 
326,3200,125 Peter St,1.5,1,650 
327,3800,576 Front St,2,2,650 
328,2600,8 Gladstone Ave,1,1,550 
329,2250,565 Avenue Road,1,1,580 
330,2800 - $3150,165 La Rose Avenue -,2,1 - 2,833 - 1049 
331,2300,268 Merton Street,1,1,660 
332,2000 - $2400,12 Bexhill Court -,1 - 2,1,624 - 881 
333,2399,15 Brookbanks Drive,1,1,950 
334,2695 - $2995,240 Markland Dr -,2 - 3,1 - 1.5,988 - 1310 
335,2682 - $2905,739 Birchmount Road,2 - 3,1,993 - 1064 
336,2372 - $2914,4141 Bathurst Street,1 - 2,1,755 - 884 
337,2327 - $2387,4900 Bathurst Street,1,1,701 
338,2049,1602 Bathurst,1,1,570 
339,1849 - $2265,1596-1598 Bathurst Street,0 - 1,1,472 - 682 
340,2640,2397 FINCH AVE W,2,1,941 
341,2547 - $2575,31-35 St. Dennis Drive,1,1,780 
342,2500,6 PARKWOOD AVENUE,1,1,525 
343,3456 - $4550,39 Niagara St.,1 - 2,1,854 
344,3400,599 Roehampton Avenue,2,3,1802 
345,2288 - $2599,4979 Bathurst Street,1 - 2,1,733 - 820 
346,3149,3905 Bathurst Street,3,1,1100 
347,1750 - $1850,272 Birmingham Street,0 - 1,1,
348,3085,42 Glen Elm Avenue,2,1,
349,2063 - $2277,82 Warren Road,0 - 1,1,414 - 614 
350,2169 - $2436,310-312 Lonsdale Road,0 - 1,1,200 - 648 
351,2121 - $2143,2 Regal Road,0,1,543 - 544 
352,2499,130 Raglan Avenue,1,1,529 
353,3895,540 Street Clarens Avenue,3.5,2,2000 
354,5980,20 Edward Street,3,2,1035 
355,2595,150 Dowling Avenue,2,1,925 
356,3095 - $4205,330 Spadina Road,1 - 3,1,850 - 1283 
357,1995 - $2375,33 Orchard View Boulevard.,0 - 1,1,400 - 680 
358,2005 - $2250,411 Duplex Avenue,0 - 1,1,360 - 520 
359,2180 - $2640,"1757, 1759 Victoria Park Avenue - S",1 - 2,1,815 - 1070 
360,3135 - $4645,355 St. Clair Avenue West,1 - 2,1,886 - 1270 
361,1710 - $2720,"2180, 2190 Weston Road - ",0 - 2,1,410 - 780 
362,2365 - $2720,"11 Dervock Crescent, 75 Talara Drive - ",1 - 2,1,500 - 735 
363,2300 - $2555,"7, 9 Roanoke Road - ",1 - 2,1,680 - 885 
364,2170 - $2640,"2, 6, 7, 8 Park Vista",1 - 2,1,690 - 960 
365,1995 - $2340,1 Oriole Road,0 - 1,1,445 - 520 
366,2600,500 Murray Ross Parkway - ,2,1,960 
367,1695 - $2290,2527 Lake Shore Blvd West,0 - 1,1,811 - 1109 
368,1790 - $2470,370 McCowan Road - S,0 - 2,1,430 - 910 
369,2295 - $2655,2020 Sheppard Ave West,1 - 2,1,500 - 660 
370,2815 - $3135,46-75 Goodview Road,2 - 3,1,1020 - 1670 
371,2125 - $2930,2928 Yonge Street,1 - 2,1,720 - 880 
372,2455,15 Tangreen Court,1,1,616 
373,2580,5 Tangreen Court,1,1,655 
374,3895,44 Stubbs Drive - ,2.5,1,1235 
375,1935 - $2635,"10 Blackfriar Ave., 186 Kingsview Blvd., 15 & 55 Bridesburg Dr. -",0 - 2,1,430 - 844 
376,1875 - $2495,148 Islington Avenue -,0 - 2,1,305 - 610 
377,2895,236 Dixon Road -,2,1,1055 
378,2115,630 Roselawn Ave.,1,1,
379,2295,33 Shore Breeze Drive -,1,1,500 
380,2500,5 Soudan Avenue,1.5,1,600 
381,2615,31 Phipps Street,1,1,513 
382,2445,8 Eglinton Avenue Eas,1.5,1,575 
383,8995,"75 Portland Street, Toronto,",1,1.5,1324 
384,2395,17 Michael Power Place -,1,1,600 
385,2059 - $3089,105 West Lodge,0 - 2,1,467 - 886 
386,2473 - $2494,140 Kingston Road,1,1,664 - 670 
387,2210,2 Glenhaven Street,1,1,597 
388,2382,2040 Eglinton Avenue West,1,1,767 
389,2095,82 Halsey Avenue -,1,1,600 
390,3580,761 Bay St,2,2,950 
391,1700 - $2000,"1554, 1560, 1570 & 1574 Bathurst St.",0 - 1,1,
392,1800,1000 O'Connor Dr.,1,1,
393,2348 - $2886,570 Birchmount Road,1 - 2,1,733 - 986 
394,4000 - $4001,11 Niagara Street,1,1,
395,1950 - $2000,262 Jarvis Street,0,1,443 - 457 
396,2195,18 Concorde Place,1,1,700 
397,2495,1030 King Street West,1.5,1,600 
398,1700 - $2500,1477 Birchmount Road,0 - 2,1,400 - 700 
399,3450,36 Castle Frank Road,2,1,1050 
400,2700,88 Harbour St,1,1,550 
401,3800 - $3850,8 The Esplanade,2,2,850 
402,2123 - $2635,92 James St -,1 - 2,1,492 - 615 
403,2650,30 Ordnance St,1,1,550 
404,2195,28 Ted Rogers Way,1.5,1,720 
405,3550,381 Front St W,2.5,2,850 
406,3650,95 Lombard St,2.5,2,1100 
407,3300,1765 Queen St E,2,2,950 
408,1300 - $1750,1512 King Street West,0 - 1,1,443 
409,2095 - $6395,2 Clarendon Ave,0 - 2,1 - 2,276 - 1170 
410,2095 - $3395,11 Walmer Rd,0 - 2,1 - 2,423 - 722 
411,1895 - $3195,Spadina Towers,0 - 2,1,499 - 870 
412,1745 - $1995,33 Isabella St,0 - 1,1,300 - 562 
413,2415 - $2821,2360 Birchmount Road,1 - 2,1,756 - 1042 
414,2600,501 Adelaide St,1,1,550 
415,2370,50 George Butchart Drive - ,1,1,620 
416,3345,260 Doris Avenue - ,2,2,1109 
417,2333 - $2599,18 & 20 Skipton Crt - ,1 - 2,1,671 - 935 
418,2425 - $3220,1264 York Mills Rd.,1 - 3,1,660 - 1126 
419,2100 - $2450,68 Fifteenth Street,1 - 2,1,550 - 700 
420,3000 - $3300,390 - 400 Woodsworth Road - ,2 - 3,1,2160 
421,2750,3443 Bathurst Street,2.5,1,976 
422,2095,165 Legion Road North -,1,1,500 
423,1750,1510 King Street West,1,1,443 
424,1400,229 Carlton Street,0,1,
425,1995,153 Ranleigh Avenue,0,1,
426,2375,2 Basking Ridge -,2,1,550 
427,2299,806 Kennedy Road - S,1,1,786 
428,2700 - $3300,19 Western Battery Rd,1.5 - 2.5,2,650 - 750 
429,1974 - $2244,210 Wychwood Avenue,0 - 1,1,428 - 620 
430,2003 - $2606,166 Wilson Avenue,1 - 2,1,372 - 844 
431,2166 - $2877,200 Ridley Boulevard,0 - 2,1,430 - 961 
432,2554 - $2689,2181 Avenue Road,2,1,829 - 934 
433,2192 - $2232,2177 Avenue Road,1,1,672 - 692 
434,1920,2175 Avenue Road,1,1,472 
435,2532,12 & 14 Rusholme Drive,1,1,649 
436,2126 - $2395,619 Woodbine Avenue,1,1,615 - 656 
437,1797,5 Glenavon Road,1,1,257 
438,1899,5 Donlands Avenue,1,1,620 
439,1729 - $1999,2890 St Clair Avenue East,0 - 1,1,350 - 550 
440,1969,4-6 Folcroft,1,1,600 
441,2923,580 The East Mall -,2,1,1106 
442,3400,40 Alexander Street,2,1,863 
443,2050 - $3050,45 Balliol Street,0 - 2,1 - 1.5,385 - 900 
444,2100 - $3000,225 Davisville Avenue,0 - 2,1,485 - 891 
445,2600,80 Queens Wharf Rd,1,1,550 
446,2480,1475 Birchmount Road,2,1,800 
447,3699,5 Cheviot Place -,3,1,1248 
448,1891 - $2184,1636 Gerrard Street East,0 - 1,1,423 - 606 
449,2199 - $2253,1255 Birchmount Road - S,1,1,706 - 720 
450,2897 - $2999,12 -24 Leith Hill RD,2,1,915 - 948 
451,2514 - $7629,7 Jackes Avenue,1 - 3,1,488 - 1998 
452,2000,549 Indian Road,0,1,
453,3600,111 Bathurst St,2,1,750 
454,3300 - $3700,75 East Liberty St,2 - 2.5,2,750 - 1100 
455,2500,151 Dan Leckie Way,1,1,550 
456,3500,30 Grand Trunk Cres,2,2,850 
457,2459 - $2907,1903 Bayview Avenue,1 - 2,1,697 - 830 
458,2700,50 Bruyeres Mews,1,1,550 
459,1950,550 Jarvis Street,1,1,618 
460,2250,143 Arlington Avenue,1,1,478 - 489 
461,2400,36 Blue Jays Way,1,1,448 
462,3700,290 Adelaide St W,2,2,1100 
463,2700,65 Bremner Blvd,1,1,650 
464,2500,30 Nelson St,1.5,1,650 
465,4295,133 Florence St.,3,2.5,
466,2450,100 Roehampton Avenue,2,1,
467,2429,155 Wellesley Street East,1,1,526 
468,2050 - $2600,15 Martha Eaton Way - ,1 - 2,1,577 - 957 
469,2550 - $3000,77 & 99 Gerrard Street West,1,1,554 - 684 
470,2700 - $8900,2 St. Thomas Street,1 - 3,1 - 3,515 - 1428 
471,2399,327 Chisholm Ave. -,1,1,546 
472,1934 - $3500,15 Vena Way,1 - 3,1 - 2,560 - 1408 
473,3849,2029-2055 Victoria Park Ave. - S,3,1,1568 
474,2750,120 Varna Dr.,2,2,630 
475,1450,468 Midland Avenue - S,0,1,366 
476,3100,101 driftwood ave,3,2,1000 
477,2700 - $3200,50 Ordnance St,1.5 - 2,2,750 
478,1895,521 Brown's Line,0,1,435 
479,1825,131 Lake Crescent,0,1,
480,2095,30 Gloucester Street,1,1,500 
481,1875 - $2695,345 Dixon Road -,1 - 3,1 - 1.5,
482,2095 - $2950,20 Godstone Road - ,1 - 3,1 - 2,
483,2925,70 Temperance Street,2,1,776 
484,2899,245 Howland Avenue,2,1,
485,2369 - $2794,2292 Weston Rd. - ,1 - 2,1,729 - 950 
486,2119,2278 Weston Road - ,1,1,637 
487,2199 - $2453,2263 Weston Road - ,0 - 1,1,472 - 624 
488,2738,2222 Weston Rd. - ,2,1,927 
489,2281,2220 Weston Rd. - ,1,1,613 
490,2775,350 The East Mall -,2,1,950 
491,2279,"2495 Lake Shore Boulevard, West -",1,1,491 
492,1916 - $2336,26 Albert Avenue -,0 - 1,1,392 - 571 
493,1749,10 Macey Avenue - S,0,1,474 
494,3350,1-31 Valleywoods Rd - ,4,1.5,
495,1800 - $2400,2255 Weston Road,1 - 2,1,
496,2320 - $3280,18 Tretti Way,1 - 2,1 - 2,433 - 604 
497,2095,38 Monte Kwinter Court - ,1.5,1,450 
498,1599 - $2399,1 Homewood Avenue,0 - 1,1,319 - 550 
499,2438 - $3316,6 Auburndale Court -,1 - 3,1 - 1.5,650 - 1050 
500,1350 - $1450,100 Unity Road,0 - 1,1,
501,1499,31 Tichester Road,1,1,
502,2249 - $2599,19 Craigton Drive - S,1 - 2,1,640 - 870 
503,1579,1360 Danforth Road - S,0,1,550 
504,2149 - $2849,2304 Weston Road,1 - 2,1,810 - 1080 
505,2549 - $2725,919 Dufferin,1,1,590 - 693 
506,2749,765 Browns Line -,2,1,843 
507,2845,33 Helendale Avenue,2,2,653 
508,1849 - $2029,222 Wellesley Street East,0 - 1,1,379 - 708 
509,1850 - $2650,1440 Lawrence Avenue West - ,1 - 2,1,709 - 966 
510,1472 - $2643,9 St Steven's Court,1 - 2.5,1,473 - 790 
511,2195,2700 Bathurst Street,1,1,618 
512,2495,30 Roehampton Avenue,1,1,650 
513,2350,115 Blue Jays Way,1,1,456 
514,2500,5418 Yonge St - ,1,1,800 
515,2600,55 Cooper St,1.5,1,650 
516,2350,83 & 85 Silver Birch Avenue,1,1,
517,2099,608 Church Street,0,1,
518,2199,177 St. George Street,0,1,
519,2399,107 Redpath Avenue,1,1,
520,2550,200 Gateway Blvd - ,1,1,
521,1650 - $2400,1401-1407 Dupont Street,0 - 2,1,
522,1893,2893 & 2897 St. Clair Ave. E,0,1,411 
523,2469,130 Gowan Ave. -,1,1,654 
524,2297,45 Forty Second St. -,1,1,616 
525,1962,2367 Queen St. E,0,1,297 
526,2709,4500 Jane St. - ,2,1,
527,2229,2240 Weston Rd. - ,1,1,739 
528,2032 - $2825,77 Parkwoods Village Dr. - ,0 - 2,1,435 - 902 
529,2316,65-65A Hillside Dr. -,1,1,664 
530,1899,90 Jameson Avenue,1,1,622 
531,2400,1A Bansley Ave,2,1,
532,2350,66 Broadway Ave,1,1,709 
533,2319,2801 Jane St. - ,1,1,710 
534,1800 - $2900,414 Jarvis Street,0 - 2,1,
535,1600 - $2100,2895 Bathurst Street,0 - 1,1,
536,2300,4 Hill Heights Road,2,1,
537,2650 - $3490,15 Fort York Blvd W,1 - 2,1 - 2,550 - 850 
538,1550 - $2550,2507 & 2515 Eglinton Avenue West,0 - 2,1,
539,2599 - $3499,7 Walmer Rd,1 - 2,1 - 2,620 - 840 
540,1999 - $2499,40 Gerrard St. E,0 - 1,1,454 - 650 
541,0 - $1999,"211, 215, 219 The West Mall -",0 - 2,1,400 - 971 
542,2069,1061 Don Mills Road,1,1,672 
543,2589,55 Forty Second St. -,1,1,575 
544,2606 - $3085,150 Roehampton Avenue,1 - 2,1,
545,2269,2402-2406 Queen St. E,1,1,640 
546,2382 - $3180,15 Dundonald Street,1 - 2,1,478 - 740 
547,2238,860 Pharmacy Avenue - S,1,1,620 
548,2119,40 Craigton Drive - S,1,1,620 
549,2087,23 Craigton Drive - S,1,1,640 
550,2149,96 Jameson Avenue,1,1,721 
551,1850 - $2850,33 Holly St.,0 - 2,1,
552,2400 - $2500,170 Fort York Blvd,1,1,550 
553,1919 - $1949,65 Dynevor Road,0,1,416 
554,3050 - $3052,15 Eva Road -,2 - 3,1,860 - 1069 
555,2340 - $3042,91 Cosburn Ave. -,1 - 2,1,452 - 806 
556,2474 - $2781,70 Parkwoods Village Dr. - ,1 - 2,1,727 - 1113 
557,2650 - $2850,11 Wellesley St W,1 - 1.5,1,550 
558,3350 - $3850,25 Lower Simcoe St,2,2,850 
559,2124 - $2682,1150 and 1200 Kingston Rd. - S,1 - 2,1,613 - 830 
560,2400 - $2700,25 Richmond St E,1 - 1.5,1,500 - 750 
561,2219 - $2727,1080 Kingston Rd. - S,1 - 2,1,
562,2050 - $3200,155 Balliol Street,0 - 2,1,466 - 964 
563,2900,2515 Bathurst Street,2,1,1250 
564,2980 - $4220,15 Brenthall Ave - ,2 - 3,1 - 2,767 - 1548 
565,2875 - $3134,65 Lillian Street,1 - 2,1 - 2,
566,3985,102-116 Pacific Ave,3,2.5,
567,2520 - $4689,55 Gerrard St W,0 - 3,1 - 2,
568,1920 - $2900,65 High Park (Leasing Centre),0 - 2,1,
569,2150 - $2752,424 Yonge Street,0 - 1,1,
570,2158,640 Sheppard Avenue East,1,1,
571,2326 - $3094,88 Redpath Avenue,1 - 2,1,
572,2811,525 Richmond Street West,1,1,
573,3734 - $4000,50 Prince Arthur Avenue,1 - 2,1 - 1.5,
574,2625 - $3606,400 Walmer Road,1 - 3,1 - 2,
575,3175,5 & 11 Elm Avenue,2,1,
576,2099 - $2399,261 Vaughan,1,1,454 - 640 
577,2000 - $2300,368 Eglinton Ave East,0 - 1,1,450 - 750 
578,2450,1284 Danforth Road,2,1,810 
579,3000,1331 Queen St E,1,1,650 
580,2500 - $3495,138 Downes St,1 - 2,1 - 2,550 - 750 
581,2600 - $3000,17 Bathurst St,1 - 1.5,1,550 
582,2346 - $2901,295 Dufferin Street,1 - 3,1 - 1.5,617 - 905 
583,2650 - $2700,501 Yonge St,1.5,1,550 
584,1950,508 Dawes Road -,1,1,
585,2200,660 Briar Hill Ave.,1,1,
586,1995,45 Grenoble Dr - ,1,1,
587,2995,50 Stephanie St,2,1,
588,1995 - $2400,150 Cosburn Ave -,1 - 2,1,
589,1825,30 Burnhill Rd - S,1,1,482 
