,price,address,beds,baths,size,longitude,latitude
196,3000,9 Jack Wiggins Lane,4,3,2136 ,-79.496411,43.768467
197,2995,39 Roehampton Avenue,2,2,660 ,-79.397135,43.708128
198,3195,4039 Stadelbauer Drive,3,2.5,2000 ,-79.48374,43.15371
199,2950,252 Thistle Down Boulevard (Main),3,1,,-79.556109,43.738648
200,2700,2212 Lake Shore Boulevard West,1.5,1,,-79.482476,43.62258
201,2250,385 Winston Road #1506,1.5,1,,-79.56875,43.191544
202,3650,25 Maitland Street,2,2,,-79.383028,43.663809
203,8995,35 Boswell Avenue,3,4.5,,-79.397274,43.67228
204,2450,1603 Eglinton Ave W,1.5,1,,-79.443095,43.696911
205,9000,676 Richmond Street West,3,2,,-79.405923,43.646278
206,2500,55 Strathaven Drive,1,1,,-79.659364,43.610693
207,6000,36 Elkpath Avenue,5,3.5,,-79.369017,43.755421
208,2400,120 Bayview Ave,1,1,,-79.354158,43.653951
209,2400,30 Baseball Place,1,1,,-79.351456,43.657826
210,2499,25 Richmond Street East,1,1,,-79.377217,43.651902
211,2500,20 Bruyeres Mews,1,1,,-79.400526,43.637652
212,2395,1000 Portage Parkway,1.5,2,750 ,-79.527336,43.797749
213,2000,130 Oliver Lane,2,1,,-79.520802,43.859327
214,2800,15 Viking Lane,1.5,1,720 ,-79.53558,43.638942
216,2350,50 McCaul Street,1,1,492 ,-79.39067,43.651804
217,3745,240 Fred McLaren Boulevard,4,2.5,2000 ,-79.273434,43.903061
218,1874,1 Eccleston Drive,1,1,605 ,-79.31281,43.72691
220,2100,642 Vaughan Road,1,1,,-79.441693,43.692889
221,2100,1600 Bathurst,1,1,,-79.416061,43.677394
222,4350,129 Kenilworth,3,1.5,980 ,-79.302171,43.670414
223,2200,2100 Bathurst St.,1,1,,-79.426307,43.703842
224,2550,135 East Liberty Street,1,1,555 ,-79.416906,43.638566
225,3450,6 Wellesley Pl,2,2,,-79.377154,43.66744
227,2250,8 Newholm Road,1,1,,-79.488186,43.635413
228,2950,1555 Finch Avenue East,1,1,875 ,-79.352053,43.792571
229,2500,1191 Birchmount Road,2,1,700 ,-79.282508,43.743077
231,2850,10 Northtown Way,1.5,1,678 ,-79.413242,43.775741
233,3500,118 Merchants Wharf,2,2,809 ,-79.364279,43.644922
234,2850,1 Yorkville Avenue,1.5,1,556 ,-79.387621,43.67181
235,2800,130 Baldwin Street,2,1,700 ,-79.398279,43.655218
236,3300,55 Munro Park Ave,2,1,950 ,-79.283277,43.673272
237,1845,5055 Greenlane Road,1.5,1,670 ,-79.48068,43.18105
238,1995,199 Main St W,2,1,,-79.573583,43.192992
239,2099,510 Dawes Road,1,1,600 ,-79.297214,43.704345
240,1795,385 Winston Road,1.5,1,700 ,-79.599457,43.209937
241,2550,225 Village Green Square,1.5,1,570 ,-79.282539,43.780236
242,3000,68 Corporate Drive,2.5,2,1090 ,-79.251282,43.780615
244,2450,83 Borough Drive,1.5,1,702 ,-79.261853,43.772744
246,2500,60 Ann OReilly Road,1.5,1,606 ,-79.32932,43.77407
247,2595,62 Forest Manor Road,1.5,1,654 ,-79.347479,43.77395
248,2800,75 Canterbury Place,2,1,595 ,-79.414829,43.773352
249,2450,120 Harrison Garden Blvd,1.5,1,534 ,-79.403612,43.758012
252,2350,50 Ann OReilly Road,1,1,467 ,-79.32932,43.77407
253,2400,55 Ann OReilly Road,1.5,1,601 ,-79.329372,43.774248
254,2000,2885 Bayview Ave,0,1,405 ,-79.38798,43.76802
255,4200,1900 Bayview Avenue,2,2.5,1071 ,-79.3786,43.71789
256,2250,99 Broadway Avenue,1,1,420 ,-79.393298,43.710505
257,2795,83 Redpath Ave,1.5,1,633 ,-79.392045,43.706629
258,2400,161 Roehampton Avenue,1.5,1,625 ,-79.393652,43.708767
260,2650,20 Brin Drive,1.5,2,640 ,-79.511799,43.661316
263,3695,120 Homewood Ave,2.5,2,1085 ,-79.376298,43.667145
264,2650,270 Wellington Street West,1.5,1,745 ,-79.391341,43.64505
266,3300,15 Lower Jarvis Street,2,2,850 ,-79.369032,43.64404
267,2600,49 East Liberty Street,1.5,2,617 ,-79.411999,43.638889
268,2699,20 Blue Jays Way,1,1,560 ,-79.392133,43.644309
269,3600,832 Bay Street,2.5,2,1090 ,-79.386581,43.661825
271,3995,96 Hammersly Boulevard,4.5,3.5,3000 ,-79.269331,43.899057
272,2370,7890 Jane Street,1,2,900 ,-79.525713,43.797671
275,4550,131 Kenilworth Ave,3,1.5,980 ,-79.302114,43.670448
276,2527,3892 Bathurst Street,2,1,768 ,-79.435552,43.743489
278,4550,129 Kenilworth Ave,3,1.5,980 ,-79.302171,43.670414
280,3500,495 Logan Ave.,2,2,,-79.3451,43.667287
281,2325,263 Boston,1.5,1,526 ,-79.383184,43.653226
282,2345,50 Thomas Riley Road,1,1,700 ,-79.541591,43.63383
284,2350,18 Brownlow Avenue,1,1,625 ,-79.391241,43.706546
285,2195,2300 St Clair Avenue West,1,1,600 ,-79.478216,43.670477
286,2625,115 Winchester Street,1,1,573 ,-79.364961,43.666528
290,3299,32 Curzon street,1.5,1,1200 ,-79.332198,43.66407
291,2349,5 Dufresne Court,1,1,,-79.330442,43.715125
292,2650,130 River St,1.5,1,550 ,-79.358454,43.66144
293,3550,100 Western Battery Rd,2,2,850 ,-79.415811,43.639519
295,3500,801 King St W,1.5,1,650 ,-79.407131,43.642864
296,3450,35 Rolling Mills Rd,2.5,2,750 ,-79.355444,43.652948
297,3000,399 Adelaide St,1.5,1,750 ,-79.397236,43.646188
298,2950,35 Mariner Terr,1,1,750 ,-79.390197,43.641606
299,3500,210 Simcoe St,2,1,850 ,-79.389155,43.652326
300,2500,51 Trolley Cres,1,1,650 ,-79.355378,43.656981
306,3590,763 Woodbine Ave.,2,2,814 ,-79.310421,43.680777
307,3000,72 Edinborough Court,3,1,,-79.499937,43.672599
309,3000,508 Wellington St,1,1,750 ,-79.3992,43.64342
310,2600,60 Princess St,1.5,1,550 ,-79.366017,43.649108
311,2800,70 Queens Wharf Rd,1,1,550 ,-79.399473,43.638518
312,3000,38 Grand Magazine St,1.5,2,750 ,-79.402831,43.637362
313,3750,18 Harbour St,2.5,2,950 ,-79.376989,43.642797
315,3000,11 Brunel Crt,1.5,1,750 ,-79.393232,43.639406
316,2500,105 George St,1,1,550 ,-79.370793,43.652205
317,2650,21 Iceboat Terrace,1.5,1,650 ,-79.397321,43.640287
318,2600,25 Baseball Pl,1,1,550 ,-79.350915,43.657685
320,3200,125 Peter St,1.5,1,650 ,-79.392676,43.648475
321,3800,576 Front St,2,2,650 ,-79.400533,43.641201
322,2600,8 Gladstone Ave,1,1,550 ,-79.427556,43.643208
323,2250,565 Avenue Road,1,1,580 ,-79.401501,43.688141
324,2399,15 Brookbanks Drive,1,1,950 ,-79.331901,43.751731
325,2300,268 Merton Street,1,1,660 ,-79.38792,43.698014
328,1999,1602 Bathurst,1,1,570 ,-79.420761,43.688606
330,2655,2397 FINCH AVE W,2,1,941 ,-79.544494,43.751181
333,3400,599 Roehampton Avenue,2,3,1802 ,-79.379629,43.71144
337,3085,42 Glen Elm Avenue,2,1,,-79.392833,43.691967
341,2499,130 Raglan Avenue,1,1,529 ,-79.421215,43.687029
342,3895,540 Street Clarens Avenue,3.5,2,2000 ,-79.442967,43.661702
343,3795,285 Ridgecrest Road,4.5,2.5,2670 ,-79.30384,43.899587
344,5980,20 Edward Street,3,2,1035 ,-79.382122,43.656967
