,address,price,size,longitude,latitude
144,1001-4789 Yonge Street,"569,000",1006 sqft,-79.410072,43.760944
145,201A-4789 Yonge Street,,— sqft,-79.410072,43.760944
146,309-220 Duncan Mill Road,"595,000",1157 sqft,-79.352814,43.762173
147,332-4750 Yonge Street,"499,000",759 sqft,-79.410957,43.760265
148,506-130 Queens Quay N/a E,"960,000",1037 sqft,-79.368317,43.644360
149,307-117 Peter Street,,— sqft,-79.392723,43.648293
150,410-1275 Finch Avenue W,"553,700",1130 sqft,-79.487038,43.764076
151,352-4750 Yonge Street,,— sqft,-79.410957,43.760265
152,2443 Dundas Street W,,— sqft,-79.453445,43.659061
153,3RD FL.-45 Industrial Street,"7,700,000",19240 sqft,-79.357918,43.707924
154,316-4750 Yonge Street,"339,000",584 sqft,-79.410957,43.760265
155,306-1585 Markham Road,"399,000",800 sqft,-79.237732,43.792599
156,205-591 Yonge Street,"2,599,900",2223 sqft,-79.384888,43.666138
157,606&607-18 Wynford Drive,,— sqft,-79.337311,43.723858
158,311 Sherbourne Street,,— sqft,-79.371941,43.661434
159,354 4750 Yonge Street,,— sqft,-79.410957,43.760265
160,4D-4773 Yonge Street,,— sqft,-79.410408,43.760960
161,5M-4773 Yonge Street,,— sqft,-79.410408,43.760960
162,201-202-1 Yorkville Avenue,,— sqft,-79.387794,43.671623
163,6067 Kingston Road,"3,900,000",6565 sqft,-79.168991,43.783154
164,404-421 Bloor Street E,,— sqft,-79.376953,43.672108
165,966 College Street,"2,299,000",2550 sqft,-79.427437,43.653519
166,9 Grenville Street,,— sqft,-79.384102,43.661896
167,3425 Dundas Street W,"4,575,000",8326 sqft,-79.485435,43.665405
168,407-2347 Kennedy Road,"199,000",745 sqft,-79.288284,43.784012
169,719 Coxwell Avenue,,— sqft,-79.323608,43.684116
170,79 Berkeley Street,,— sqft,-79.364578,43.652905
171,1 Valleybrook Drive,,— sqft,-79.353638,43.758434
172,613-4789 Yonge Street,"545,000",798 sqft,-79.410194,43.761108
173,305-1585 Markham Road,,— sqft,-79.237732,43.792599
174,200-45 Industrial Street,412,18363 sqft,-79.357918,43.707924
175,201-45 Industrial Street,"639,471",1554 sqft,-79.357918,43.707924
176,211-212-45 Industrial Street,"1,409,388",3425 sqft,-79.357918,43.707924
177,23 Atlantic Avenue,,— sqft,-79.419899,43.637123
178,3097 Kingston Road,"2,388,000",4400 sqft,-79.229759,43.727055
179,715-1275 Finch Avenue W,,— sqft,-79.487038,43.764076
180,210-334 Adelaide Street,,— sqft,-79.392487,43.647633
181,115 Walnut Avenue,"3,995,000",4605 sqft,-79.408089,43.642410
182,1604 Dufferin Street,,— sqft,-79.442375,43.675636
183,406-255 Duncan Mills Road,"425,000",750 sqft,-79.351753,43.761337
184,815-130 Queens Quay,,— sqft,-79.379173,43.640484
185,301-2225 Markham Road,,— sqft,-79.243088,43.808735
186,4640 Jane Street,"5,900,000",,-79.520782,43.768456
187,516 Eglinton Avenue E,"3,500,000",1848 sqft,-79.382118,43.710228
188,511-2347 Kennedy Road,,— sqft,-79.288284,43.784012
189,88 St Regis Crescent S,"11,000,000",27496 sqft,-79.484886,43.754837
190,105-595 Sheppard Avenue E,"1,349,900",884 sqft,-79.384224,43.767345
191,330 Brown's Line,,— sqft,-79.544655,43.599854
192,151 Placer Court,,— sqft,-79.341888,43.801964
193,522 Mount Pleasant Road,,— sqft,-79.388100,43.702011
194,322-4750 Yonge Street,,— sqft,-79.410957,43.760265
195,322/323-4750 Yonge Street,,— sqft,-79.410957,43.760265
196,323-4750 Yonge Street,,— sqft,-79.410957,43.760265
197,305-2225 Markham Road,,— sqft,-79.243088,43.808735
198,304-2225 Markham Road,,— sqft,-79.243088,43.808735
199,308-120 Carlton Street,"395,000",815 sqft,-79.376419,43.662621
200,168 Bridgeland Avenue,"5,250,000",6000 sqft,-79.465340,43.725567
201,17 Isabella Street,"4,998,000",4 bath,-79.384499,43.667637
202,42 Laird Drive,,— sqft,-79.361229,43.703983
203,201-591 Yonge Street,"2,199,000",1961 sqft,-79.384888,43.666138
204,15 Glenforest Road,"2,495,000",2755 sqft,-79.402855,43.730286
205,210-591 Yonge Street,"3,199,000",3453 sqft,-79.384888,43.666138
206,209-591 Yonge Street,"3,199,000",3491 sqft,-79.384888,43.666138
207,501-800 Bathurst Street,,— sqft,-79.411682,43.665501
208,507-800 Bathurst Street,"299,900",577 sqft,-79.411682,43.665501
209,402-300 Geary Avenue,"2,850,000",1422 sqft,-79.441643,43.669331
210,106-300 Geary Avenue,"2,255,000",1878 sqft,-79.441643,43.669331
211,304-300 Geary Avenue,"1,660,000",1380 sqft,-79.441643,43.669331
212,205-300 Geary Avenue,"890,000",989 sqft,-79.441643,43.669331
213,2191 Warden Avenue,"6,350,000",7800 sqft,-79.307800,43.779716
214,307-117 Peter Street,,— sqft,-79.392723,43.648293
215,#2-3853 Lake Shore Boulevard W,"829,000",1117 sqft,-79.545067,43.590385
216,6067 Kingston Road,"3,900,000",6565 sqft,-79.168991,43.783154
217,111 Wellington Street W,,— sqft,-79.383118,43.646473
218,397 Rathburn Road,,— sqft,-79.563835,43.654804
219,304-1315 Lawrence Avenue E,,— sqft,-79.322655,43.740650
220,274 Geary Avenue,,— sqft,-79.440804,43.669651
221,2216 Queen Street E,,— sqft,-79.288498,43.672779
222,215-15 Wellesley Street W,,— sqft,-79.385490,43.664539
223,1018 Finch Avenue W,,— sqft,-79.469650,43.768627
224,503-220 Duncan Mill Road,"419,000",836 sqft,-79.352814,43.762173
225,504-130 Queens Quay Street W,,— sqft,-79.368317,43.644360
226,1108A-130 Queens Quay E,,— sqft,-79.368317,43.644360
227,1106A-130 Queens Quay E,,— sqft,-79.368317,43.644360
228,318/317-4750 Yonge Street,,— sqft,-79.410957,43.760265
